i,j,distance
14,23,1163.711082
14,24,934.551518
14,25,1366.163099
14,27,904.974285
14,28,1403.056239
14,29,1991.129461
14,30,1324.914856
14,31,3012.696865
15,1,363.953797
15,2,273.821483
15,3,201.930688
15,4,416.856125
15,5,732.914096
15,6,791.243583
15,7,1068.397337
15,8,1507.913721
15,9,739.435986
15,10,574.203642
15,11,771.82787
15,12,535.987426
15,13,1184.229433
15,14,894.654559
15,15,0
15,16,369.520022
15,17,721.972523
15,18,1012.482159
15,19,1545.009452
15,20,1751.447185
15,21,1961.974047
15,22,1259.649466
15,23,1369.009499
15,24,1485.205742
15,25,1873.496677
15,27,776.414415
15,28,1189.340152
15,29,1803.95394
15,30,955.87918
15,31,2595.325499
16,1,622.606321
16,2,578.907696
16,3,398.552021
16,4,358.921098
16,5,802.838283
16,6,1153.30395
16,7,1425.692395
16,8,1851.514052
16,9,836.693933
16,10,644.305453
16,11,791.839064
16,12,467.20232
16,13,1063.135282
16,14,709.055527
16,15,369.520022
16,16,0
16,17,468.993544
16,18,730.923741
16,19,1290.493751
16,20,1425.24746
16,21,1671.852207
16,22,890.373483
16,23,1005.161475
16,24,1126.693196
16,25,1506.118259
16,27,434.148081
16,28,909.378105
16,29,1537.729986
16,30,727.708802
16,31,2435.791363
17,1,1055.28236
17,2,986.612651
17,3,835.381703
17,4,825.808609
17,5,1271.032672
17,6,1487.92703
17,7,1769.506694
17,8,2220.968788
17,9,695.499167
17,10,545.833785
17,11,566.877228
17,12,317.305995
17,13,635.379008
17,14,261.983469
17,15,721.972523
17,16,468.993544
17,17,0
17,18,291.777411
17,19,831.531874
17,20,1047.039627
17,21,1240.001529
17,22,763.487481
17,23,978.743111
17,24,864.364442
17,25,1292.111272
17,27,647.627511
17,28,1152.634064
17,29,1753.174594
17,30,1063.813752
17,31,2757.727097
18,1,1338.196663
18,2,1274.150331
18,3,1115.655861
18,4,1073.907643
18,5,1517.213227
18,6,1778.877363
18,7,2060.54355
18,8,2512.694998
18,9,889.848105
18,10,778.966039
18,11,734.656966
18,12,577.990879
18,13,575.470796
18,14,288.223334
18,15,1012.482159
18,16,730.923741
18,17,291.777411
18,18,0
18,19,562.020366
18,20,761.450543
18,21,950.530703
18,22,654.999555
18,23,906.615282
18,24,646.80338
18,25,1079.036558
18,27,774.925595
18,28,1230.411439
18,29,1782.255238
18,30,1204.80332
18,31,2839.968514
19,1,1886.419072
19,2,1814.557769
19,3,1666.903824
19,4,1635.924781
19,5,2079.037183
19,6,2276.138829
19,7,2556.271154
19,8,3017.239373
19,9,1213.650071
19,10,1179.249766
19,11,1049.232929
19,12,1045.757201
19,13,606.100595
19,14,668.813756
19,15,1545.009452
19,16,1290.493751
19,17,831.531874
19,18,562.020366
19,19,0
19,20,504.339696
19,21,459.914771
19,22,980.930134
19,23,1232.504687
19,24,758.199563
19,25,1085.767782
19,27,1302.622795
19,28,1697.963811
19,29,2172.34661
19,30,1723.574214
19,31,3270.176138
20,1,2047.842972
20,2,1998.750182
20,3,1823.745047
20,4,1720.276887
20,5,2134.936913
20,6,2532.245331
20,7,2813.27505
20,8,3259.204216
20,9,1605.930258
20,10,1525.229182
20,11,1441.165437
20,12,1338.011839
20,13,1072.808668
20,14,999.880573
20,15,1751.447185
20,16,1425.24746
20,17,1047.039627
20,18,761.450543
20,19,504.339696
20,20,0
20,21,376.282297
20,22,772.570024
20,23,968.693052
20,24,446.557165
20,25,619.300786
20,27,1273.842495
20,28,1533.942211
20,29,1889.754628
20,30,1639.985082
20,31,2999.143338
